
Windows PowerShell

Try the new cross-platform PowerShell https://aka.ms/pscore6

PS C:\Users\aziub\Downloads\LatticeBoltzmannDemo> & "C:/Program Files/Python310/python.exe" c:/Users/aziub/Downloads/LatticeBoltzmannDemo/LatticeBoltzmannDemo.py
(18.027763 frames per second)
         666517 function calls (634389 primitive calls) in 5.552 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      840    0.000    0.000    0.000    0.000 __init__.py:79(<genexpr>)
      103    0.000    0.000    0.003    0.000 __init__.py:825(after)
      103    0.000    0.000    5.324    0.052 __init__.py:837(callit)
        1    0.000    0.000    0.000    0.000 __init__.py:853(after_idle)
        4    0.000    0.000    0.000    0.000 __init__.py:855(__contains__)
      978    0.001    0.000    0.002    0.000 __init__.py:858(clean)
      978    0.000    0.000    0.000    0.000 __init__.py:861(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:861(after_cancel)
      978    0.003    0.000    0.005    0.000 __init__.py:907(get_siblings)
      978    0.000    0.000    0.000    0.000 __init__.py:911(<listcomp>)
        2    0.000    0.000    0.000    0.000 _backend_tk.py:129(_timer_start)
        3    0.000    0.000    0.000    0.000 _backend_tk.py:133(_timer_stop)
      101    0.001    0.000    5.041    0.050 _backend_tk.py:138(_on_timer)
        1    0.000    0.000    0.060    0.060 _backend_tk.py:213(resize)
        2    0.000    0.000    0.000    0.000 _backend_tk.py:231(draw_idle)
        2    0.000    0.000    0.282    0.141 _backend_tk.py:238(idle_draw)
        2    0.000    0.000    0.000    0.000 _backend_tk.py:246(get_tk_widget)
        2    0.000    0.000    0.000    0.000 _backend_tk.py:38(_restore_foreground_window_at_end)
        1    0.000    0.000    0.020    0.020 _backend_tk.py:450(show)
      102    0.001    0.000    0.202    0.002 _backend_tk.py:53(_blit)
        2    0.000    0.000    0.000    0.000 _backend_tk.py:582(set_cursor)
      102    0.003    0.000    0.214    0.002 _backend_tk.py:70(blit)
        1    0.000    0.000    5.532    5.532 _backend_tk.py:906(mainloop)
        4    0.000    0.000    0.000    0.000 _base.py:1045(_set_position)
        4    0.000    0.000    0.000    0.000 _base.py:1083(get_axes_locator)
        4    0.000    0.000    0.000    0.000 _base.py:1416(get_aspect)
        4    0.000    0.000    0.000    0.000 _base.py:1602(get_anchor)
        4    0.000    0.000    0.000    0.000 _base.py:1670(get_data_ratio)
        4    0.000    0.000    0.002    0.000 _base.py:1684(apply_aspect)
       12    0.000    0.000    0.000    0.000 _base.py:2760(_get_axis_list)
        8    0.000    0.000    0.000    0.000 _base.py:2763(_get_axis_map)
        2    0.000    0.000    0.002    0.001 _base.py:2781(_update_title_position)
        8    0.000    0.000    0.000    0.000 _base.py:2832(<genexpr>)
        2    0.000    0.000    0.205    0.103 _base.py:2839(draw)
        2    0.000    0.000    0.000    0.000 _base.py:2893(<listcomp>)
      200    0.001    0.000    1.784    0.009 _base.py:2926(draw_artist)
        4    0.000    0.000    0.000    0.000 _base.py:3354(get_xbound)
      204    0.002    0.000    0.007    0.000 _base.py:3402(get_xlim)
        4    0.000    0.000    0.000    0.000 _base.py:3698(get_ybound)
      204    0.001    0.000    0.003    0.000 _base.py:3746(get_ylim)
      200    0.001    0.000    0.011    0.000 _base.py:4062(_get_view)
        4    0.000    0.000    0.000    0.000 _base.py:4313(get_children)
        6    0.000    0.000    0.000    0.000 _base.py:725(get_window_extent)
      482    0.002    0.000    0.008    0.000 _base.py:766(_unstale_viewLim)
      964    0.000    0.000    0.000    0.000 _base.py:769(<genexpr>)
      964    0.000    0.000    0.000    0.000 _base.py:771(<genexpr>)
      480    0.001    0.000    0.009    0.000 _base.py:780(viewLim)
    72/40    0.000    0.000    0.000    0.000 _base.py:831(get_xaxis_transform)
