
Windows PowerShell

Try the new cross-platform PowerShell https://aka.ms/pscore6

PS C:\Users\aziub\Downloads\LatticeBoltzmannDemo> & "C:/Program Files/Python310/python.exe" c:/Users/aziub/Downloads/LatticeBoltzmannDemo/LatticeBoltzmannDemo.py
(18.027763 frames per second)
         668688 function calls (636552 primitive calls) in 5.554 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      306    0.002    0.000    0.053    0.000 colors.py:1128(process_value)
      204    0.002    0.000    0.514    0.003 cm.py:293(to_rgba)
1243/1138    0.002    0.000    0.002    0.000 transforms.py:180(_invalidate_internal)
      938    0.002    0.000    0.009    0.000 fromnumeric.py:2763(amin)
      103    0.002    0.000    3.179    0.031 animation.py:1765(_draw_frame)
      242    0.002    0.000    0.003    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
      102    0.002    0.000    0.014    0.000 image.py:684(set_data)
      850    0.002    0.000    0.002    0.000 enum.py:358(__call__)
      104    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
       78    0.002    0.000    0.014    0.000 text.py:665(draw)
     5108    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x0000010CFFD49240}
     2040    0.002    0.000    0.002    0.000 core.py:3421(shape)
      916    0.002    0.000    0.007    0.000 transforms.py:2468(composite_transform_factory)
      624    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       96    0.002    0.000    0.013    0.000 lines.py:744(draw)
       32    0.002    0.000    0.002    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      326    0.002    0.000    0.021    0.000 transforms.py:1447(transform)
      280    0.001    0.000    0.002    0.000 font_manager.py:697(__hash__)
     4197    0.001    0.000    0.001    0.000 transforms.py:1900(get_matrix)
       48    0.001    0.000    0.013    0.000 lines.py:276(__init__)
     2016    0.001    0.000    0.001    0.000 fromnumeric.py:70(<dictcomp>)
      978    0.001    0.000    0.002    0.000 __init__.py:858(clean)
       12    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      703    0.001    0.000    0.004    0.000 font_manager.py:1206(score_weight)
     3059    0.001    0.000    0.001    0.000 transforms.py:1019(get_points)
     1138    0.001    0.000    0.003    0.000 transforms.py:170(invalidate)
     2467    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      488    0.001    0.000    0.005    0.000 colors.py:178(to_rgba)
       70    0.001    0.000    0.046    0.001 text.py:864(get_window_extent)
     1279    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      460    0.001    0.000    0.030    0.000 transforms.py:326(xmin)
     3160    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      714    0.001    0.000    0.002    0.000 core.py:1310(_replace_dtype_fields)
      391    0.001    0.000    0.001    0.000 contextlib.py:102(__init__)
       48    0.001    0.000    0.006    0.000 lines.py:660(recache)
      568    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      104    0.001    0.000    0.002    0.000 __init__.py:1542(_register)
      938    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(amin)
      102    0.001    0.000    0.012    0.000 core.py:3067(__array_wrap__)
      408    0.001    0.000    0.049    0.000 core.py:6549(array)
     2346    0.001    0.000    0.002    0.000 core.py:1357(getmask)
      940    0.001    0.000    0.006    0.000 fromnumeric.py:2638(amax)
       96    0.001    0.000    0.002    0.000 artist.py:99(__init__)
      101    0.001    0.000    0.021    0.000 animation.py:1259(_blit_clear)
       16    0.001    0.000    0.025    0.002 axis.py:57(__init__)
    258/2    0.001    0.000    0.198    0.099 deprecation.py:404(wrapper)
      107    0.001    0.000    0.001    0.000 transforms.py:386(size)
      204    0.001    0.000    0.002    0.000 _ufunc_config.py:32(seterr)
     3761    0.001    0.000    0.001    0.000 artist.py:822(get_animated)
      204    0.001    0.000    0.003    0.000 transforms.py:1067(__init__)
      280    0.001    0.000    0.004    0.000 backend_bases.py:922(set_clip_path)
      486    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      568    0.001    0.000    0.001    0.000 re.py:288(_compile)
      112    0.001    0.000    0.004    0.000 font_manager.py:638(__init__)
     1326    0.001    0.000    0.002    0.000 core.py:3637(_get_data)
      568    0.001    0.000    0.004    0.000 re.py:187(match)
